serial,kind,category,name,status,load_time_seconds,problem,browser_evidence,attempt,tested_at,uid
1,channel,Sports,T Sports,PASS,1.109,,readyState=4; video=1280x720; currentTime=26.27s; playing=True; progressed=True,1,2026-08-29T19:00:23+00:00,channel:t-sports:0
2,channel,Sports,PTV Sports,PASS,3.375,,readyState=4; video=1280x720; currentTime=27.32s; playing=True; progressed=True,2,2026-08-29T16:26:54+00:00,channel:ptv-sports:1
3,channel,Sports,Willow,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=False,2,2026-08-29T16:33:07+00:00,channel:willow:2
4,channel,Sports,Willow 2,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=False,2,2026-08-29T16:33:13+00:00,channel:willow-2:3
5,channel,Sports,STAR SPORTS 1 Hindi,PASS,9.766,,readyState=4; video=854x480; currentTime=0.42s; playing=True; progressed=True,1,2026-08-29T16:08:50+00:00,channel:star-sports-1-hindi:4
6,channel,Sports,Star Sports 2,PASS,5.875,,readyState=4; video=1280x720; currentTime=36.34s; playing=True; progressed=True,1,2026-08-29T16:07:27+00:00,channel:star-sports-2:5
7,channel,Sports,A Sports,PASS,1.109,,readyState=4; video=1280x720; currentTime=36.28s; playing=True; progressed=True,1,2026-08-29T16:08:51+00:00,channel:a-sports:6
8,channel,Sports,Star Sports Select 2,PASS,2.078,,readyState=4; video=1280x720; currentTime=36.33s; playing=True; progressed=True,1,2026-08-29T16:07:30+00:00,channel:star-sports-select-2:7
9,channel,Sports,UNITE8 SPORTS 2,PASS,0.828,,readyState=4; video=1280x720; currentTime=4.09s; playing=True; progressed=True,1,2026-08-29T16:08:52+00:00,channel:unite8-sports-2:8
10,channel,Sports,Pk Sports,PASS,14.907,,readyState=4; video=1280x720; currentTime=16.55s; playing=True; progressed=True,1,2026-08-29T16:07:45+00:00,channel:pk-sports:9
11,channel,Sports,BEIN SPORTS,PASS,4.172,,readyState=4; video=854x480; currentTime=46.12s; playing=True; progressed=True,1,2026-08-29T16:08:57+00:00,channel:bein-sports:10
12,channel,Sports,BEIN Sports 2,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=True,2,2026-08-29T16:34:03+00:00,channel:bein-sports-2:11
13,channel,Sports,BEIN Sports 3,PASS,1.563,,readyState=4; video=1280x720; currentTime=11.36s; playing=True; progressed=True,2,2026-08-29T16:26:56+00:00,channel:bein-sports-3:12
14,channel,Sports,BEIN Sports 4,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=True,2,2026-08-29T16:42:46+00:00,channel:bein-sports-4:13
15,channel,Sports,BEIN Sports 5,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=True,2,2026-08-29T16:33:22+00:00,channel:bein-sports-5:14
16,channel,Sports,Bein Sports Extra,PASS,1.719,,readyState=4; video=854x480; currentTime=46.23s; playing=True; progressed=True,1,2026-08-29T16:08:16+00:00,channel:bein-sports-extra:15
17,channel,Sports,BeIN Sports Xtra,PASS,3.297,,readyState=4; video=854x480; currentTime=46.15s; playing=True; progressed=True,1,2026-08-29T16:09:30+00:00,channel:bein-sports-xtra:16
18,channel,Sports,GOAL TV,PASS,2.281,,readyState=4; video=640x360; currentTime=48.26s; playing=True; progressed=True,1,2026-08-29T16:08:18+00:00,channel:goal-tv:17
19,channel,Sports,M Sports,PASS,2.641,,readyState=4; video=1920x1080; currentTime=12.23s; playing=True; progressed=True,1,2026-08-29T16:09:33+00:00,channel:m-sports:18
20,channel,Sports,2 Tv Sports FIFA Worldcup,PASS,14.078,,readyState=4; video=1280x720; currentTime=12.39s; playing=True; progressed=True,2,2026-08-29T16:33:27+00:00,channel:2-tv-sports-fifa-worldcup:19
21,channel,Sports,2TV Sport 🇳🇴,PASS,2.734,,readyState=4; video=1280x720; currentTime=12.09s; playing=True; progressed=True,1,2026-08-29T16:09:36+00:00,channel:2tv-sport:20
22,channel,Sports,5 SPORT,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.90s; playing=False; progressed=True,2,2026-08-29T16:34:05+00:00,channel:5-sport:21
23,channel,Sports,Bein Sports 1,PASS,6.406,,readyState=4; video=1920x1080; currentTime=38.31s; playing=True; progressed=True,1,2026-08-29T16:09:42+00:00,channel:bein-sports-1:22
24,channel,Sports,beIN SPORTS 6,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=False,2,2026-08-29T16:42:50+00:00,channel:bein-sports-6:23
25,channel,Sports,beIN SPORTS 7,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=69.01s; playing=False; progressed=True,2,2026-08-29T16:33:25+00:00,channel:bein-sports-7:24
26,channel,Sports,BeIN Sports Español,PASS,2.656,,readyState=4; video=1280x720; currentTime=38.34s; playing=True; progressed=True,1,2026-08-29T16:08:46+00:00,channel:tnt-sports-3:25
27,channel,Sports,Bein Sports Xtra ñ *2,PASS,13.015,,readyState=4; video=854x480; currentTime=46.31s; playing=True; progressed=True,1,2026-08-29T16:09:58+00:00,channel:bein-sports-xtra-ñ-2:26
28,channel,Sports,Bein Xtra,PASS,7.375,,readyState=4; video=1280x720; currentTime=38.42s; playing=True; progressed=True,1,2026-08-29T16:08:54+00:00,channel:bein-xtra:27
29,channel,Sports,Cowboy tv,PASS,13.469,,readyState=4; video=848x480; currentTime=46.25s; playing=True; progressed=True,1,2026-08-29T16:10:12+00:00,channel:cowboy-tv:28
30,channel,Sports,Dazn 1,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.89s; playing=False; progressed=True,2,2026-08-29T16:33:42+00:00,channel:dazn-1:29
31,channel,Sports,Dazn 2,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.90s; playing=False; progressed=True,2,2026-08-29T16:34:20+00:00,channel:dazn-2:30
32,channel,Sports,Dazn 3,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.87s; playing=False; progressed=True,2,2026-08-29T16:43:04+00:00,channel:dazn-3:31
33,channel,Sports,Dazn 4,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.86s; playing=False; progressed=True,2,2026-08-29T16:33:39+00:00,channel:dazn-4:32
34,channel,Sports,Dazn 5,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.89s; playing=False; progressed=True,2,2026-08-29T16:33:45+00:00,channel:dazn-5:33
35,channel,Sports,DAZN FAST+,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.90s; playing=False; progressed=True,2,2026-08-29T16:34:23+00:00,channel:dazn-fast:34
36,channel,Sports,DD Sports 2 0,PASS,2.437,,readyState=4; video=896x504; currentTime=42.34s; playing=True; progressed=True,1,2026-08-29T16:09:28+00:00,channel:dd-sports-2-0:35
37,channel,Sports,FIFA Live,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=True,2,2026-08-29T16:43:19+00:00,channel:fifa:36
38,channel,Sports,Football World Cup 2026,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.86s; playing=False; progressed=True,2,2026-08-29T16:33:42+00:00,channel:football-world-cup-2026:37
39,channel,Sports,FOX Sports,PASS,2.406,,readyState=4; video=1280x720; currentTime=38.33s; playing=True; progressed=True,1,2026-08-29T16:11:04+00:00,channel:fox-sports:38
40,channel,Sports,Fox Sports 501,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.89s; playing=False; progressed=True,2,2026-08-29T16:33:48+00:00,channel:fox-sports-501:39
41,channel,Sports,GO 3 sport 1,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.90s; playing=False; progressed=True,2,2026-08-29T16:34:25+00:00,channel:go-3-sport-1:40
42,channel,Sports,GO 3 sport 2,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.90s; playing=False; progressed=True,2,2026-08-29T16:43:22+00:00,channel:go-3-sport-2:41
43,channel,Sports,Kiev Спорт,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=True,2,2026-08-29T16:33:57+00:00,channel:kiev-спорт:42
44,channel,Sports,NOVA SPORT 1,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.89s; playing=False; progressed=True,2,2026-08-29T16:33:50+00:00,channel:nova-sport-1:43
45,channel,Sports,QAZ Sports,PASS,4.656,,readyState=4; video=1920x1080; currentTime=10.27s; playing=True; progressed=True,1,2026-08-29T16:11:27+00:00,channel:qaz-sports:44
46,channel,Sports,RS Sports 1,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.90s; playing=False; progressed=True,2,2026-08-29T16:34:40+00:00,channel:rs-sports-1:45
47,channel,Sports,RS Sports 2,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.90s; playing=False; progressed=True,2,2026-08-29T16:43:36+00:00,channel:rs-sports-2:46
48,channel,Sports,RS Sports 3,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=False,2,2026-08-29T16:34:12+00:00,channel:rs-sports-3:47
49,channel,Sports,RS Sports 4,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=8.89s; playing=False; progressed=True,2,2026-08-29T16:34:05+00:00,channel:rs-sports-4:48
50,channel,Sports,RS Sports 5,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=0.00s; playing=False; progressed=True,2,2026-08-29T16:34:55+00:00,channel:rs-sports-5:49
51,channel,Sports,SKY SPORTS ACTION,FAIL,,Browser blocked the media response (ORB; invalid or cross-origin media response),readyState=0; video=0x0; currentTime=78.25s; playing=False; progressed=True,2,2026-08-29T16:43:39+00:00,channel:sky-sports-action:50
52,channel,Sports,SKY SPORTS CRICKET,FAIL,,Player exhausted all playback routes: চ্যানেলটি চালানো যায়নি।,readyState=0; video=0x0; currentTime=72.96s; playing=False; progressed=True,2,2026-08-29T16:34:16+00:00,channel:sky-sports-cricket:51
